,altimeter_set_1,wind_cardinal_direction_set_1d,cloud_layer_3_code_set_1,heat_index_set_1d,sea_level_pressure_set_1,sea_level_pressure_set_1d,cloud_layer_1_code_set_1,weather_condition_set_1d,air_temp_low_6_hour_set_1,air_temp_high_24_hour_set_1,precip_accum_one_hour_set_1,visibility_set_1,pressure_set_1d,pressure_tendency_set_1,metar_set_1,cloud_layer_2_code_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,air_temp_high_6_hour_set_1,date_time,dew_point_temperature_set_1d,ceiling_set_1,dew_point_temperature_set_1,air_temp_low_24_hour_set_1,precip_accum_six_hour_set_1,metar_origin_set_1,weather_cond_code_set_1,wind_direction_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
42,101760.93,N,,,101590.0,101245.65,404.0,Haze,,,,3.0,89394.14,,KMHS 020456Z AUTO 00000KT 3SM HZ OVC040 19/12 A3005 RMK AO2 SLP159  T01940122,,63.13,0.0,19.4,,2018-08-02 04:56:00,12.17,1219.2,12.2,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
43,101794.79,N,,,101620.0,101373.81,394.0,Haze,17.2,,,3.0,89423.88,1013.0,KMHS 020556Z AUTO 00000KT 3SM HZ OVC039 17/12 A3006 RMK AO2 SLP162  T01720117 10300 20172 51013,,70.11,0.0,17.2,30.0,2018-08-02 05:56:00,11.67,1188.72,11.7,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
44,101828.66,N,,,101640.0,101477.27,384.0,Haze,,,,3.0,89453.64,,KMHS 020656Z AUTO 00000KT 3SM HZ OVC038 16/11 A3007 RMK AO2 SLP164  T01560106,,72.16,0.0,15.6,,2018-08-02 06:56:00,10.56,1158.24,10.6,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
45,101828.66,N,,,101640.0,101530.14,404.0,Haze,,31.7,,4.0,89453.64,,KMHS 020756Z AUTO 00000KT 4SM HZ OVC040 14/09 A3007 RMK AO2 SLP164  T01440089 403170117,,69.55,0.0,14.4,,2018-08-02 07:56:00,8.85,1219.2,8.9,11.7,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
46,101794.79,N,,,101620.0,101496.37,464.0,Haze,,,,4.0,89423.88,1.0,KMHS 020856Z AUTO 00000KT 4SM HZ OVC046 14/09 A3006 RMK AO2 SLP162  T01440089 50001,,69.55,0.0,14.4,,2018-08-02 08:56:00,8.85,1402.08,8.9,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
47,101828.66,N,,,101640.0,101601.27,424.0,Haze,,,,4.0,89453.64,,KMHS 020956Z AUTO 00000KT 4SM HZ OVC042 13/08 A3007 RMK AO2 SLP164  T01280083,,74.1,0.0,12.8,,2018-08-02 09:56:00,8.26,1280.16,8.3,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
48,101794.79,N,,,,101567.49,284.0,Haze,,,,3.0,89423.88,,KMHS 021042Z AUTO 00000KT 3SM HZ OVC028 13/08 A3006 RMK AO2  T01280083,,71.66,0.0,12.8,,2018-08-02 10:42:00,7.76,853.44,8.3,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
49,101794.79,N,,,101640.0,101567.49,284.0,Haze,,,,3.0,89423.88,,KMHS 021056Z AUTO 00000KT 3SM HZ OVC028 13/08 A3006 RMK AO2 SLP164  T01280078,,71.62,0.0,12.8,,2018-08-02 10:56:00,7.75,853.44,7.8,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
50,101794.79,N,,,,101594.33,324.0,Haze,,,,3.0,89423.88,,SPECI KMHS 021111Z AUTO 00000KT 3SM HZ OVC032 12/08 A3006 RMK AO2 T01220083,,77.07,0.0,12.2,,2018-08-02 11:11:00,8.26,975.36,8.3,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
51,101794.79,N,,,101650.0,101594.36,464.0,Haze,11.7,,,3.0,89423.88,8001.0,KMHS 021156Z AUTO 00000KT 3SM HZ OVC046 12/08 A3006 RMK AO2 SLP165  T01220078 10183 20117 58001,,74.5,0.0,12.2,18.3,2018-08-02 11:56:00,7.76,1402.08,7.8,,,1.0,6.0,0.0,KMHS,3540,-122.31702,41.31494
