,road_subsurface_tmp_set_1,date_time,road_freezing_temp_set_1,wind_cardinal_direction_set_1d,road_temp_set_1,wind_gust_set_1,dew_point_temperature_set_1d,heat_index_set_1d,wind_direction_set_1,relative_humidity_set_1,wind_speed_set_1,air_temp_set_1,_meta_station_id,_meta_elevation,_meta_longitude,_meta_latitude
102,31.94,2018-08-02 01:50:00,0.0,SSE,29.83,4.2,4.9,,158.0,29.0,2.81,24.06,CRLNV,6422,-120.00341,39.23022
103,31.78,2018-08-02 02:05:00,0.0,SSE,29.67,4.2,6.07,,160.0,32.0,2.68,23.78,CRLNV,6422,-120.00341,39.23022
104,31.94,2018-08-02 02:21:00,0.0,S,28.44,4.78,,,169.0,,2.81,22.33,CRLNV,6422,-120.00341,39.23022
105,32.17,2018-08-02 02:36:00,0.0,SSE,28.06,4.6,4.78,,167.0,31.0,2.41,22.83,CRLNV,6422,-120.00341,39.23022
106,32.06,2018-08-02 02:51:00,0.0,S,27.44,3.8,4.64,,172.0,31.0,2.01,22.67,CRLNV,6422,-120.00341,39.23022
107,31.44,2018-08-02 03:07:00,0.0,WNW,26.78,0.49,3.68,,287.0,32.0,0.09,21.06,CRLNV,6422,-120.00341,39.23022
108,31.78,2018-08-02 03:22:00,0.0,,26.17,0.49,2.66,,,30.0,0.0,20.94,CRLNV,6422,-120.00341,39.23022
109,31.56,2018-08-02 03:37:00,0.0,,25.56,0.49,1.5,,,28.0,0.0,20.72,CRLNV,6422,-120.00341,39.23022
110,31.44,2018-08-02 03:52:00,0.0,,25.06,0.58,-1.34,,,23.0,0.0,20.56,CRLNV,6422,-120.00341,39.23022
111,31.28,2018-08-02 04:07:00,0.0,,24.67,0.0,-2.14,,,22.0,0.0,20.33,CRLNV,6422,-120.00341,39.23022
112,31.17,2018-08-02 04:23:00,0.0,,24.17,0.0,-2.37,,,22.0,0.0,20.06,CRLNV,6422,-120.00341,39.23022
113,30.94,2018-08-02 04:38:00,0.0,,23.83,0.0,-2.1,,,23.0,0.0,19.67,CRLNV,6422,-120.00341,39.23022
114,30.72,2018-08-02 04:53:00,0.0,WNW,23.44,0.8,-3.18,,294.0,21.0,0.09,19.83,CRLNV,6422,-120.00341,39.23022
115,30.56,2018-08-02 05:08:00,0.0,,23.06,0.0,-2.52,,,23.0,0.0,19.17,CRLNV,6422,-120.00341,39.23022
116,30.44,2018-08-02 05:23:00,0.0,,22.72,0.0,-2.85,,,23.0,0.0,18.78,CRLNV,6422,-120.00341,39.23022
117,30.17,2018-08-02 05:38:00,0.0,NNW,22.56,0.9,-1.85,,328.0,24.0,0.31,19.28,CRLNV,6422,-120.00341,39.23022
118,30.06,2018-08-02 05:53:00,0.0,,22.33,0.09,-0.77,,,26.0,0.0,19.28,CRLNV,6422,-120.00341,39.23022
119,29.83,2018-08-02 06:09:00,0.0,,22.17,0.0,0.29,,,28.0,0.0,19.33,CRLNV,6422,-120.00341,39.23022
120,29.67,2018-08-02 06:24:00,0.0,,21.94,0.0,-2.04,,,24.0,0.0,19.06,CRLNV,6422,-120.00341,39.23022
121,29.56,2018-08-02 06:39:00,0.0,,21.67,0.09,-1.26,,,25.0,0.0,19.33,CRLNV,6422,-120.00341,39.23022
122,29.33,2018-08-02 06:54:00,0.0,WNW,21.44,0.9,-1.73,,285.0,25.0,0.49,18.78,CRLNV,6422,-120.00341,39.23022
123,29.17,2018-08-02 07:09:00,0.0,,21.28,0.0,-2.37,,,24.0,0.0,18.67,CRLNV,6422,-120.00341,39.23022
124,29.06,2018-08-02 07:24:00,0.0,,21.06,0.4,-2.28,,,24.0,0.0,18.78,CRLNV,6422,-120.00341,39.23022
125,28.94,2018-08-02 07:30:00,0.0,,20.94,0.0,-2.57,,,24.0,0.0,18.44,CRLNV,6422,-120.00341,39.23022
126,28.78,2018-08-02 07:45:00,0.0,,20.72,0.0,-2.8,,,24.0,0.0,18.17,CRLNV,6422,-120.00341,39.23022
127,28.67,2018-08-02 08:01:00,0.0,,20.44,0.0,-2.06,,,26.0,0.0,17.78,CRLNV,6422,-120.00341,39.23022
128,28.44,2018-08-02 08:16:00,0.0,,20.22,0.0,-0.76,,,29.0,0.0,17.56,CRLNV,6422,-120.00341,39.23022
129,28.22,2018-08-02 08:31:00,0.0,,20.06,0.0,0.69,,,32.0,0.0,17.67,CRLNV,6422,-120.00341,39.23022
130,28.17,2018-08-02 08:46:00,0.0,,19.83,0.0,-0.1,,,30.0,0.0,17.78,CRLNV,6422,-120.00341,39.23022
131,27.94,2018-08-02 09:01:00,0.0,,19.78,0.0,-2.01,,,26.0,0.0,17.83,CRLNV,6422,-120.00341,39.23022
132,27.83,2018-08-02 09:16:00,0.0,WNW,19.56,0.58,-2.45,,301.0,25.0,0.18,17.94,CRLNV,6422,-120.00341,39.23022
133,27.72,2018-08-02 09:31:00,0.0,,19.44,0.0,-1.5,,,27.0,0.0,17.83,CRLNV,6422,-120.00341,39.23022
134,27.56,2018-08-02 09:46:00,0.0,,19.33,0.0,-2.8,,,24.0,0.0,18.17,CRLNV,6422,-120.00341,39.23022
135,27.44,2018-08-02 10:01:00,0.0,,19.17,0.0,-1.82,,,26.0,0.0,18.06,CRLNV,6422,-120.00341,39.23022
136,27.28,2018-08-02 10:16:00,0.0,,19.06,0.09,-4.06,,,22.0,0.0,18.06,CRLNV,6422,-120.00341,39.23022
137,27.06,2018-08-02 10:31:00,0.0,,18.94,0.0,-3.13,,,24.0,0.0,17.78,CRLNV,6422,-120.00341,39.23022
138,26.94,2018-08-02 10:46:00,0.0,,18.67,0.0,-1.4,,,29.0,0.0,16.83,CRLNV,6422,-120.00341,39.23022
139,26.83,2018-08-02 11:01:00,0.0,,18.56,0.0,0.68,,,33.0,0.0,17.17,CRLNV,6422,-120.00341,39.23022
140,26.78,2018-08-02 11:16:00,0.0,,18.44,0.09,1.68,,,36.0,0.0,16.94,CRLNV,6422,-120.00341,39.23022
141,26.56,2018-08-02 11:31:00,0.0,,18.33,0.0,1.97,,,37.0,0.0,16.83,CRLNV,6422,-120.00341,39.23022
142,26.44,2018-08-02 11:46:00,0.0,,18.22,0.0,1.89,,,36.0,0.0,17.17,CRLNV,6422,-120.00341,39.23022
143,26.33,2018-08-02 12:01:00,0.0,,18.17,0.18,0.92,,,33.0,0.0,17.44,CRLNV,6422,-120.00341,39.23022
144,26.28,2018-08-02 12:16:00,0.0,,17.94,0.0,-0.19,,,32.0,0.0,16.67,CRLNV,6422,-120.00341,39.23022
